Country,Month,Year,Lat,Lon,Value
Guinea,4,16,9.5,-13.7,3814
Guinea,3,16,9.5,-13.7,3811
Guinea,2,16,9.5,-13.7,3804
Guinea,1,16,9.5,-13.7,3804
Guinea,12,15,9.5,-13.7,3804
Guinea,11,15,9.5,-13.7,3804
Guinea,10,15,9.5,-13.7,3808
Guinea,9,15,9.5,-13.7,3805
Guinea,8,15,9.5,-13.7,3790
Guinea,7,15,9.5,-13.7,3781
Guinea,6,15,9.5,-13.7,3745
Guinea,5,15,9.5,-13.7,3652
Guinea,4,15,9.5,-13.7,3578
Guinea,3,15,9.5,-13.7,3492
Guinea,2,15,9.5,-13.7,3155
Guinea,1,15,9.5,-13.7,2917
Guinea,12,14,9.5,-13.7,2707
Guinea,11,14,9.5,-13.7,2155
Guinea,10,14,9.5,-13.7,1667
Guinea,9,14,9.5,-13.7,1074
Guinea,8,14,9.5,-13.7,648
Guinea,7,14,9.5,-13.7,460
Guinea,6,14,9.5,-13.7,390
Guinea,5,14,9.5,-13.7,281
Guinea,4,14,9.5,-13.7,221
Guinea,3,14,9.5,-13.7,112
Liberia,4,16,6.42,-9.4,10678
Liberia,3,16,6.42,-9.4,10675
Liberia,2,16,6.42,-9.4,10675
Liberia,1,16,6.42,-9.4,10675
Liberia,12,15,6.42,-9.4,10675
Liberia,11,15,6.42,-9.4,10675
Liberia,10,15,6.42,-9.4,10672
Liberia,9,15,6.42,-9.4,10672
Liberia,8,15,6.42,-9.4,10672
Liberia,7,15,6.42,-9.4,10672
Liberia,6,15,6.42,-9.4,10666
Liberia,5,15,6.42,-9.4,10666
Liberia,4,15,6.42,-9.4,10322
Liberia,3,15,6.42,-9.4,9712
Liberia,2,15,6.42,-9.4,9238
Liberia,1,15,6.42,-9.4,8622
Liberia,12,14,6.42,-9.4,8018
Liberia,11,14,6.42,-9.4,7635
Liberia,10,14,6.42,-9.4,6535
Liberia,9,14,6.42,-9.4,3458
Liberia,8,14,6.42,-9.4,1378
Liberia,7,14,6.42,-9.4,329
Liberia,6,14,6.42,-9.4,51
Liberia,5,14,6.42,-9.4,12
Liberia,4,14,6.42,-9.4,13
Liberia,3,14,6.42,-9.4,8
Sierra Leone,4,16,8.46,11.7,14124
Sierra Leone,3,16,8.46,11.7,14124
Sierra Leone,2,16,8.46,11.7,14124
Sierra Leone,1,16,8.46,11.7,14124
Sierra Leone,12,15,8.46,11.7,14122
Sierra Leone,11,15,8.46,11.7,14122
Sierra Leone,10,15,8.46,11.7,14067
Sierra Leone,9,15,8.46,11.7,13911
Sierra Leone,8,15,8.46,11.7,13603
Sierra Leone,7,15,8.46,11.7,13387
Sierra Leone,6,15,8.46,11.7,13129
Sierra Leone,5,15,8.46,11.7,12827
Sierra Leone,4,15,8.46,11.7,12398
Sierra Leone,3,15,8.46,11.7,11974
Sierra Leone,2,15,8.46,11.7,11301
Sierra Leone,1,15,8.46,11.7,10518
Sierra Leone,12,14,8.46,11.7,9446
Sierra Leone,11,14,8.46,11.7,7109
Sierra Leone,10,14,8.46,11.7,5338
Sierra Leone,9,14,8.46,11.7,2021
Sierra Leone,8,14,8.46,11.7,1026
Sierra Leone,7,14,8.46,11.7,533
Sierra Leone,6,14,8.46,11.7,158
Sierra Leone,5,14,8.46,11.7,16
Sierra Leone,4,14,8.46,11.7,0
Sierra Leone,3,14,8.46,11.7,0
